model_label,length,best_acc,length_num,base_acc,gain_pp
cifar_resnet20,baseline,0.6028,0,0.6028,0.0
cifar_resnet32,baseline,0.6172,0,0.6172,0.0
cifar_resnet56,baseline,0.6314,0,0.6314,0.0
cifar_resnet8,baseline,0.5268,0,0.5268,0.0
cnn_w0.5,baseline,0.3478,0,0.3478,0.0
cnn_w1,baseline,0.3849,0,0.3849,0.0
cnn_w2,baseline,0.4256,0,0.4256,0.0
cnn_w4,baseline,0.4463,0,0.4463,0.0
resnet18,baseline,0.6876,0,0.6876,0.0
cifar_resnet20,curr10,0.6047,10,0.6028,0.19000000000000128
cifar_resnet32,curr10,0.6207,10,0.6172,0.35000000000000586
cifar_resnet56,curr10,0.6134,10,0.6314,-1.8000000000000016
cifar_resnet8,curr10,0.5321,10,0.5268,0.5299999999999971
cnn_w0.5,curr10,0.3782999999999999,10,0.3478,3.049999999999992
cnn_w1,curr10,0.4211,10,0.3849,3.6199999999999957
cnn_w2,curr10,0.425,10,0.4256,-0.05999999999999894
cnn_w4,curr10,0.4319,10,0.4463,-1.4399999999999968
resnet18,curr10,0.6821,10,0.6876,-0.5499999999999949
cifar_resnet20,curr20,0.5966,20,0.6028,-0.6199999999999983
cifar_resnet32,curr20,0.6143,20,0.6172,-0.29000000000000137
cifar_resnet56,curr20,0.6233,20,0.6314,-0.8099999999999996
cifar_resnet8,curr20,0.5449,20,0.5268,1.8100000000000005
cnn_w0.5,curr20,0.3796199999999999,20,0.3478,3.1819999999999906
cnn_w1,curr20,0.407,20,0.3849,2.2099999999999955
cnn_w2,curr20,0.403,20,0.4256,-2.2599999999999953
cnn_w4,curr20,0.4041,20,0.4463,-4.219999999999996
resnet18,curr20,0.6937,20,0.6876,0.6099999999999994
cifar_resnet20,curr30,0.5869,30,0.6028,-1.5900000000000025
cifar_resnet32,curr30,0.6143,30,0.6172,-0.29000000000000137
cifar_resnet56,curr30,0.6168,30,0.6314,-1.4599999999999946
cifar_resnet8,curr30,0.5228,30,0.5268,-0.40000000000000036
cnn_w0.5,curr30,0.37288,30,0.3478,2.507999999999999
cnn_w1,curr30,0.382,30,0.3849,-0.29000000000000137
cnn_w2,curr30,0.3824,30,0.4256,-4.319999999999996
cnn_w4,curr30,0.395,30,0.4463,-5.1299999999999955
resnet18,curr30,0.6815,30,0.6876,-0.6099999999999994
cifar_resnet20,curr40,0.5826,40,0.6028,-2.0199999999999996
cifar_resnet32,curr40,0.6091,40,0.6172,-0.8099999999999996
cifar_resnet56,curr40,0.6127,40,0.6314,-1.869999999999994
cifar_resnet8,curr40,0.5318,40,0.5268,0.5000000000000004
cnn_w0.5,curr40,0.36344,40,0.3478,1.5639999999999987
cnn_w1,curr40,0.3708,40,0.3849,-1.4100000000000001
cnn_w2,curr40,0.3828,40,0.4256,-4.28
cnn_w4,curr40,0.3825,40,0.4463,-6.379999999999997
resnet18,curr40,0.68,40,0.6876,-0.759999999999994
cifar_resnet20,curr5,0.5857,5,0.6028,-1.7100000000000004
cifar_resnet32,curr5,0.6177,5,0.6172,0.050000000000005596
cifar_resnet56,curr5,0.6175,5,0.6314,-1.3899999999999912
cifar_resnet8,curr5,0.5243,5,0.5268,-0.2500000000000058
cnn_w0.5,curr5,0.3756666666666666,5,0.3478,2.7866666666666595
cnn_w1,curr5,0.4188,5,0.3849,3.389999999999999
cnn_w2,curr5,0.4472,5,0.4256,2.160000000000001
cnn_w4,curr5,0.4447,5,0.4463,-0.15999999999999903
resnet18,curr5,0.681,5,0.6876,-0.6599999999999939
