model_label,epoch,gain_pp,best_label
cifar_resnet20,10,-34.1,curr10
cifar_resnet20,20,-3.820000000000001,curr10
cifar_resnet20,50,-0.7699999999999929,curr10
cifar_resnet20,100,-0.12999999999999678,curr10
cifar_resnet32,10,-31.259999999999998,curr10
cifar_resnet32,20,-3.849999999999998,curr10
cifar_resnet32,50,-1.31,curr10
cifar_resnet32,100,0.550000000000006,curr10
cifar_resnet56,10,-41.16,curr20
cifar_resnet56,20,-42.79,curr20
cifar_resnet56,50,-0.21999999999999797,curr20
cifar_resnet56,100,-1.6299999999999981,curr20
cifar_resnet8,10,-31.379999999999995,curr20
cifar_resnet8,20,-27.349999999999998,curr20
cifar_resnet8,50,0.6800000000000028,curr20
cifar_resnet8,100,2.32,curr20
cnn_w0.5,10,-28.57,curr20
cnn_w0.5,20,-23.07,curr20
cnn_w0.5,50,2.5600000000000014,curr20
cnn_w0.5,100,2.4900000000000033,curr20
cnn_w1,10,-28.849999999999998,curr10
cnn_w1,20,2.610000000000001,curr10
cnn_w1,50,1.4600000000000002,curr10
cnn_w1,100,1.689999999999997,curr10
cnn_w2,10,2.8500000000000023,curr5
cnn_w2,20,2.2799999999999985,curr5
cnn_w2,50,1.5400000000000025,curr5
cnn_w2,100,0.38000000000000256,curr5
cnn_w4,10,0.9899999999999964,curr5
cnn_w4,20,-1.5699999999999992,curr5
cnn_w4,50,-0.539999999999996,curr5
cnn_w4,100,-1.2299999999999978,curr5
resnet18,10,-54.90999999999999,curr20
resnet18,20,-51.78,curr20
resnet18,50,-0.28000000000000247,curr20
resnet18,100,-0.27999999999999137,curr20
