experiment_name,run_uuid,run_name,status,function,model_arch,n_params,best_val_loss,final_test_loss,hessian_trace,critical_sharpness,grad_cosine_sim,grad_noise_scale,train_per_param
sweep-levy-v3-ratio,008926a4bcb8496aa855fab0c3071a26,trial081_fourier_h12_b2_f20_s1.0_lr6.4e-03_bs256,FINISHED,levy_n20000_k3_ss6_seed42_train,fourier,1129.0,0.556509256362915,0.8859556913375854,13717.6708984375,0.037529964696781645,-0.23940522968769073,0.32747074567579537,7.085916740478299
sweep-franke-v3-ratio,02df8728f1d34de4ad30a168c085f990,trial154_siren_h16_l3_w19_lr8.6e-05_bs64,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,609.0,9.856693941401318e-05,9.578816388966516e-05,1861.2674560546875,0.0010578337112929267,0.28674811124801636,0.0058065940197175375,13.136288998357964
sweep-bukin-v3-ratio,035081166b414be0b7b3700e4f242d79,trial043_fourier_h12_b1_f8_s23.9_lr2.2e-03_bs128,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,529.0,2112.950439453125,2092.14208984375,76826.71875,0.22725471547516168,-0.19904184341430664,11673.537335421166,15.122873345935728
sweep-bukin-v3-ratio,03796e6978f44353a2cf76fa9418d38a,trial080_fourier_h12_b1_f12_s3.6_lr1.1e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,625.0,98.98064422607422,102.72648620605469,144816.3125,0.06088839642631247,-0.37236133217811584,3127.1231524539417,12.8
sweep-franke-v3-ratio,03b0a72dd34c475bb617f8cc8b33928e,trial124_siren_h16_l3_w19_lr8.1e-05_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,609.0,9.395248343935236e-05,9.448733908357099e-05,1012.957275390625,0.0007862337609974054,0.13248980045318604,0.007249860566259643,13.136288998357964
sweep-peaks-v3-ratio,04e00fa74d244dd2913499a6d7b0cceb,trial021_siren_h20_l3_w24_lr7.3e-05_bs256,FINISHED,peaks_n20000_k3_ss5_seed42_train,siren,921.0,0.0039809830486774445,0.00404580170288682,73806.4140625,0.0009537500520580712,-0.12059243768453598,0.0032512916060063006,8.686210640608035
sweep-eggholder-v3-ratio,0605c7f468b54235a732a894af2215bb,trial071_mlp_h12_b2_relu_lr3.3e-03_bs64,FINISHED,eggholder_n20000_k3_ss7_seed42_train,mlp,673.0,22510.43359375,23580.80078125,120048048.0,0.049566471874267146,0.01909271813929081,86939994.78977643,11.887072808320951
sweep-franke-v3-ratio,0619edcc5f624a189057ec8dafca8e7e,trial067_siren_h20_l3_w20_lr1.3e-04_bs32,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,0.00015743916446808726,0.00017183581076096743,1635.885009765625,0.0028986243222572025,0.26055943965911865,3.068688273530733e-05,8.686210640608035
sweep-ackley-v3-ratio,062b6228297f494a90095e2149f0ef70,trial004_fourier_h16_b1_f16_s7.6_lr1.6e-04_bs64,FINISHED,ackley_n20000_k3_ss5_seed42_train,fourier,1089.0,4.165544509887695,4.168477535247803,719.833740234375,0.22338348543547404,0.18287219107151031,0.08537293393687743,7.3461891643709825
sweep-bukin-v3-ratio,0704a6c41706414981153a09c9bf9e49,trial169_fourier_h12_b1_f16_s2.7_lr2.7e-02_bs64,FINISHED,bukin_n20000_k3_ss8_seed42_train,fourier,721.0,83.71376037597656,133.8448028564453,87433.015625,0.09725407066011399,-0.6605067849159241,3164.1732537517237,11.095700416088766
sweep-franke-v3-ratio,07d795df95274cc7b0a1903a0c471c3a,trial063_siren_h20_l3_w13_lr1.9e-04_bs128,FINISHED,franke_n20000_k3_ss4_seed42_train,siren,921.0,9.856812539510429e-05,0.00010089211718877777,931.6949462890625,0.0012105032765765454,0.14930550754070282,6.581754696207425e-06,8.686210640608035
