benchmark_id,candidate_id,function,num_losses,mean_best_hard_val_loss,std_best_hard_val_loss,mean_final_hard_val_loss,mean_epochs_trained,status
ackley_pilot_k5_v2_candidate_0003_20260510_011205,0003,ackley,4,0.4698454439640045,0.32049383533174264,0.4700680921475093,100.0,ok
ackley_pilot_k5_v2_candidate_0004_20260510_011718,0004,ackley,4,1.6195077300071716,1.2286132127308662,1.6207279562950134,100.0,ok
ackley_pilot_k5_v2_candidate_0005_20260510_012200,0005,ackley,4,2.1373128493626914,1.9035107213211648,2.146909753481547,95.66666666666667,ok
ackley_pilot_k5_candidate_0001_20260510_004208,,ackley,4,2.14663897951444,1.891570872086065,2.154427150885264,95.66666666666667,
ackley_pilot_k5_v2_candidate_0002_20260510_010655,0002,ackley,4,2.3027286926905313,1.4806187334472094,2.3230263789494834,94.66666666666667,ok
ackley_pilot_k5_v2_candidate_0001_20260510_010043,0001,ackley,4,3.2115629514058432,1.0228936072986312,3.225313742955526,94.0,ok
smoke_policy_benchmark,,ackley,2,18.96402931213379,0.0,18.96402931213379,2.0,
eggholder_pilot_k5_v2_candidate_0002_20260510_103840,0002,eggholder,4,38721.754557291664,6523.7466546231935,38754.006510416664,93.0,ok
eggholder_pilot_k5_v3_candidate_0007_20260510_141727,0007,eggholder,4,39984.328776041664,7135.060240786288,40082.065104166664,87.66666666666667,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0012_20260513_093921,0012,eggholder,4,42680.1953125,4029.2401725603595,42790.486979166664,87.33333333333333,ok
eggholder_pilot_k5_v3_candidate_0002_20260510_135411,0002,eggholder,4,42973.4765625,4502.824134261986,43050.096354166664,93.66666666666667,ok
eggholder_llm_k5_l4_canonical_v1_candidate_0007_20260513_091223,0007,eggholder,4,47083.752604166664,6370.160082635047,47567.212239583336,76.0,ok
eggholder_pilot_k5_v2_candidate_0001_20260510_103355,0001,eggholder,4,47661.020833333336,5603.73657656665,47771.131510416664,77.66666666666667,ok
