function,regime,median_quality_curriculum,median_quality_single,median_runtime_sec_curriculum,median_runtime_sec_single,n_curriculum,n_single,delta_quality_single_minus_curriculum,delta_runtime_sec_single_minus_curriculum,runtime_ratio_curr_over_single,quality_winner
ackley,equal_epochs,0.0082778185606002,0.000653464521747,648.916,331.773,3,3,-0.0076243540388531,-317.14300000000003,1.9559035846798867,single
bukin,equal_epochs,0.0021058432757854,0.0341055952012538,296.439,153.486,3,3,0.0319997519254684,-142.95300000000003,1.9313748485203865,curriculum
eggholder,equal_epochs,193.4974670410156,140.12429809570312,447.027,84.0,3,3,-53.3731689453125,-363.027,5.32175,single
franke,equal_epochs,6.836601642135065e-06,1.1067932064179333e-05,331.924,100.401,3,3,4.231330422044266e-06,-231.523,3.305983008137369,curriculum
friedman1_2d,equal_epochs,0.0001703318266663,0.0002994231763295,283.95,145.586,3,3,0.0001290913496632,-138.36399999999998,1.9503935818004476,curriculum
friedman2_2d,equal_epochs,0.000515118765179,0.000977563438937,360.578,141.824,3,3,0.000462444673758,-218.754,2.542432874548736,curriculum
levy,equal_epochs,0.207336887717247,0.2177316695451736,544.567,149.555,3,3,0.0103947818279266,-395.012,3.6412490388151517,curriculum
peaks,equal_epochs,0.0003957226872444,0.0002459016395732,82.194,51.155,3,3,-0.0001498210476711,-31.039,1.606763757208484,single
ackley,equal_time,0.0056634480133652,0.0028050804976373,613.793,252.723,3,3,-0.0028583675157278,-361.07,2.4287183991959576,single
bukin,equal_time,0.0009412297513335,0.1764840185642242,289.816,112.986,3,3,0.1755427888128906,-176.82999999999998,2.5650611580195775,curriculum
eggholder,equal_time,171.2898406982422,133.69207763671875,521.377,113.85,3,3,-37.59776306152344,-407.52699999999993,4.579508124725516,single
franke,equal_time,4.163835910730995e-06,1.5895955584710464e-05,386.423,87.7,3,3,1.1732119673979469e-05,-298.723,4.406191562143672,curriculum
friedman1_2d,equal_time,0.0001735344558255,0.0001257439434994,300.321,117.979,3,3,-4.779051232617349e-05,-182.34200000000004,2.545546241280228,single
friedman2_2d,equal_time,0.0001832377311075,0.0001098593347705,467.846,129.773,3,3,-7.337839633692056e-05,-338.073,3.6051104621146157,single
levy,equal_time,0.0506645068526268,0.2194596379995346,700.963,151.653,3,3,0.1687951311469078,-549.31,4.622150567413767,curriculum
peaks,equal_time,0.0004146595310885,0.0001788498193491,91.801,23.325,3,3,-0.0002358097117394,-68.476,3.9357341907824224,single
