function,regime,curriculum,single,auc_delta_single_minus_curriculum,winner
ackley,equal_epochs,0.15279447635186816,0.08644496692839632,-0.06634950942347184,direct
ackley,equal_time,0.15222475597595625,0.13174830395939507,-0.020476452016561175,direct
bukin,equal_epochs,1.5431265856034968,2.6051499395395568,1.06202335393606,curriculum
bukin,equal_time,1.6967756288224016,3.3642177906286843,1.6674421618062827,curriculum
eggholder,equal_epochs,8566.574856489435,2159.1754812316894,-6407.399375257745,direct
eggholder,equal_time,11252.46886596578,1429.959375019014,-9822.509490946766,direct
franke,equal_epochs,8.250604101015321e-05,0.00010055117433166519,1.8045133321511973e-05,curriculum
franke,equal_time,9.422537549449326e-05,0.0001810687750136708,8.684339951917754e-05,curriculum
friedman1_2d,equal_epochs,0.005250969237487101,0.007182052651490988,0.0019310834140038877,curriculum
friedman1_2d,equal_time,0.003981997256509042,0.007722632687602982,0.00374063543109394,curriculum
friedman2_2d,equal_epochs,0.008055180984898245,0.003608546405257202,-0.004446634579641043,direct
friedman2_2d,equal_time,0.008346870763836924,0.002403074213189029,-0.005943796550647895,direct
levy,equal_epochs,15.32206060383987,1.8167925546305221,-13.505268049209347,direct
levy,equal_time,11.019597823885205,1.5787757491996122,-9.440822074685592,direct
peaks,equal_epochs,0.007134173582667405,0.0027096592668979665,-0.004424514315769439,direct
peaks,equal_time,0.007894995592086434,0.0029118362908775453,-0.004983159301208889,direct
