function,regime,seed,curriculum,single,delta_single_minus_curriculum
ackley,equal_epochs,42,0.008792252279818,0.000653464521747,-0.008138787758071002
ackley,equal_epochs,43,0.0082778185606002,0.0104358587414026,0.002158040180802401
ackley,equal_epochs,44,0.0077430177479982,0.0003978933091275,-0.0073451244388707
ackley,equal_time,42,0.0056634480133652,0.0001024854936986,-0.005560962519666601
ackley,equal_time,43,0.0114071713760495,0.0050768535584211,-0.006330317817628399
ackley,equal_time,44,0.005003715865314,0.0028050804976373,-0.0021986353676767
bukin,equal_epochs,42,0.0098575707525014,0.0226807594299316,0.0128231886774302
bukin,equal_epochs,43,0.0001764694025041,0.0341055952012538,0.0339291257987497
bukin,equal_epochs,44,0.0021058432757854,0.1828074157238006,0.1807015724480152
bukin,equal_time,42,0.1731465458869934,0.5723758339881897,0.3992292881011963
bukin,equal_time,43,0.000227008931688,0.1764840185642242,0.17625700963253618
bukin,equal_time,44,0.0009412297513335,0.0033508017659187,0.0024095720145852
eggholder,equal_epochs,42,99.80496978759766,71.79998779296875,-28.004981994628906
eggholder,equal_epochs,43,213.68182373046875,177.4197998046875,-36.26202392578125
eggholder,equal_epochs,44,193.4974670410156,140.12429809570312,-53.37316894531247
eggholder,equal_time,42,145.2128448486328,110.33070373535156,-34.88214111328125
eggholder,equal_time,43,437.0629577636719,181.2127990722656,-255.85015869140628
eggholder,equal_time,44,171.2898406982422,133.69207763671875,-37.59776306152344
franke,equal_epochs,42,5.276553929434158e-05,1.1067932064179333e-05,-4.169760723016225e-05
franke,equal_epochs,43,1.0374632211096468e-06,2.057616256934125e-05,1.9538699348231603e-05
franke,equal_epochs,44,6.836601642135065e-06,2.4176990791602293e-06,-4.418902562974836e-06
franke,equal_time,42,0.0016300058923661,1.5895955584710464e-05,-0.0016141099367813895
franke,equal_time,43,4.163835910730995e-06,4.295638791518286e-05,3.8792552004451863e-05
franke,equal_time,44,1.3155618034943473e-06,2.6235668428853387e-06,1.3080050393909914e-06
friedman1_2d,equal_epochs,42,0.0004751616215799,0.0002994231763295,-0.00017573844525040002
friedman1_2d,equal_epochs,43,1.2349633834674025e-05,0.0006074719713069,0.000595122337472226
friedman1_2d,equal_epochs,44,0.0001703318266663,0.0001361175818601,-3.421424480619999e-05
friedman1_2d,equal_time,42,0.0010443766368553,5.600631993729621e-05,-0.0009883703169180037
friedman1_2d,equal_time,43,5.040920586907305e-05,0.0024219679180532,0.002371558712184127
friedman1_2d,equal_time,44,0.0001735344558255,0.0001257439434994,-4.77905123261e-05
friedman2_2d,equal_epochs,42,0.000515118765179,0.000977563438937,0.0004624446737579999
friedman2_2d,equal_epochs,43,3.588128674891777e-05,0.001877948641777,0.0018420673550280822
friedman2_2d,equal_epochs,44,0.0006559622706845,0.0001839810138335,-0.00047198125685100006
friedman2_2d,equal_time,42,0.0001115124177886,0.000125544014736,1.4031596947399987e-05
friedman2_2d,equal_time,43,0.0006258668727241,0.0001098593347705,-0.0005160075379536
friedman2_2d,equal_time,44,0.0001832377311075,1.2607540156750474e-05,-0.00017063019095074953
levy,equal_epochs,42,0.1939392238855362,0.2177316695451736,0.023792445659637396
levy,equal_epochs,43,0.207336887717247,0.8702558875083923,0.6629189997911453
levy,equal_epochs,44,0.2865970432758331,0.1299821585416793,-0.15661488473415378
levy,equal_time,42,0.0506645068526268,2.571803331375122,2.5211388245224953
levy,equal_time,43,0.224770113825798,0.0985339730978012,-0.12623614072799683
levy,equal_time,44,0.0282570663839578,0.2194596379995346,0.1912025716155768
peaks,equal_epochs,42,0.0003957226872444,0.0082813566550612,0.0078856339678168
peaks,equal_epochs,43,0.0032523577101528,0.0001282238954445,-0.0031241338147083
peaks,equal_epochs,44,0.0001386126969009,0.0002459016395732,0.00010728894267229998
peaks,equal_time,42,0.0035177806857973,3.791815834119916e-05,-0.0034798625274561007
peaks,equal_time,43,0.0001512848539277,0.0001788498193491,2.7564965421400018e-05
peaks,equal_time,44,0.0004146595310885,0.0010352745885029,0.0006206150574144
