dataset,model_label,label,n,base_best_mean,curr_best_mean,gain_best_mean,gain_best_sd,base_final_mean,curr_final_mean,gain_final_mean,gain_auc_mean,base_ece_mean,curr_ece_mean,delta_ece_mean,log10_final_sharp_mean,log10_final_hess_mean,log10_mean_sharp_mean,log10_mean_hess_mean
cifar10,cifar_resnet8,curr10,3,0.8427333333333333,0.8436333333333333,0.0009,0.0040951190458886,0.8297,0.8383666666666666,0.0086666666666666,-0.0360760942760942,0.0520473400394121,0.0472895140608151,-0.004757825978597,0.556443727344667,-0.0370796500888763,-0.0517271031153415,-0.4309604901396636
cifar10,cnn_w0.5,curr10,3,0.6964,0.6987666666666668,0.0023666666666667,0.0054243279153581,0.6799666666666667,0.6808333333333333,0.0008666666666666,-0.0279732323232322,0.1282138133158286,0.1380490023314952,0.0098351890156666,0.2321311906529106,0.1626633828289468,0.0176222608524768,-0.0258826113929816
cifar10,cnn_w0.5,curr20,3,0.6964,0.7042,0.0078,0.0068198240446509,0.6799666666666667,0.6894333333333332,0.0094666666666666,-0.0674552188552188,0.1282138133158286,0.1316385116597016,0.0034246983438729,0.1212928843680498,0.1932208121512794,-0.0897771114851447,-0.0712368677188475
cifar100,cifar_resnet8,curr20,3,0.5526666666666666,0.5659666666666666,0.0133,0.0100861290890013,0.5436,0.5622666666666666,0.0186666666666666,-0.0196010887772194,0.11901000283584,0.1046597142465412,-0.0143502885892987,-0.160829848921997,-0.3024821502309492,-0.0398951008680437,-0.7113341613951804
cifar100,cnn_w0.5,curr20,3,0.3504333333333333,0.3758333333333333,0.0253999999999999,0.0039849717690342,0.3056333333333333,0.3058333333333333,0.0002,-0.0172190954773869,0.3725872149328391,0.4199022657791773,0.0473150508463382,0.0262736221791904,0.0303352313464204,0.007299067255388,-0.1881374308006023
cifar100,cnn_w1,curr10,3,0.3862,0.4059666666666666,0.0197666666666666,0.0028041635710731,0.3212666666666666,0.3296333333333333,0.0083666666666666,-0.0023128140703517,0.60900553654929,0.6089081993664305,-9.733718285960996e-05,0.354396419696815,0.0390698911324455,0.2837540855973041,-0.0667052848439698
cifar100,cnn_w2,curr5,3,0.4242999999999999,0.4415,0.0172,0.0056426943918663,0.3729333333333333,0.3766333333333334,0.0037,0.0015205192629815,0.5712980857113997,0.5726869109277924,0.0013888252163926,-0.0794540923734435,0.0566404157720959,0.1140969711267313,-0.1714536489218394
cifar100,cnn_w4,curr5,3,0.4451,0.4484666666666666,0.0033666666666666,0.0021221058723195,0.3877,0.3852333333333333,-0.0024666666666666,-0.0103429648241206,0.5818614760806163,0.5860753734399874,0.004213897359371,0.1502779123224542,0.2253750392488878,0.1969657578071426,-0.0370898726527504
fashion-mnist,cifar_resnet8,curr10,3,0.9166,0.9123666666666668,-0.0042333333333333,0.0032624121954979,0.9122,0.9046333333333332,-0.0075666666666667,-0.0742951178451177,0.0659198377698659,0.0720064568459987,0.0060866190761327,0.047367333347009,-0.3826397117900902,-0.3027044990827913,-0.6236766611268784
fashion-mnist,cnn_w0.5,curr10,3,0.9066,0.9077333333333332,0.0011333333333333,0.001436430761761,0.8987666666666666,0.8929,-0.0058666666666666,-0.0591070707070705,0.0754076974978049,0.0816902079651753,0.0062825104673703,-0.1439814858937661,-0.619629045491827,-0.1827796814100387,-0.3466856653905195
fashion-mnist,cnn_w0.5,curr20,3,0.9066,0.9078333333333334,0.0012333333333333,0.001446835627614,0.8987666666666666,0.8950666666666667,-0.0036999999999999,-0.1200648148148147,0.0754076974978049,0.0794173941334088,0.0040096966356038,-0.0972533664545418,-0.4102901057969466,-0.1788868452743927,-0.3206412786359621
fashion-mnist,cnn_w1,curr10,3,0.9116666666666666,0.9129,0.0012333333333333,0.0022030282189143,0.9014333333333332,0.9036666666666666,0.0022333333333333,-0.0645193602693603,0.0851155836025874,0.0838751955340306,-0.0012403880685568,0.1977452768675249,-0.0149007244321724,-0.1313572195601625,-0.2462354154113344
fashion-mnist,cnn_w4,curr5,3,0.9163333333333332,0.9147666666666666,-0.0015666666666666,0.0037898988552906,0.9049666666666668,0.9053333333333334,0.0003666666666666,-0.032504377104377,0.0899457125842571,0.0889504981001218,-0.0009952144841352,-0.1551113256569054,0.3204521767997615,-0.1012609510663858,-0.0139504256116254
tiny-imagenet,cifar_resnet8,curr20,1,0.3842,0.3716,-0.0126,,0.3841,0.3668,-0.0172999999999999,-0.055220202020202,0.0716264874372631,0.0792328722979873,0.0076063848607242,-0.4979902138911624,0.2423483720184552,-0.5872428962668044,-0.427210907274572
tiny-imagenet,cnn_w1,curr20,1,0.2498,0.1775,-0.0723,,0.1338,0.103,-0.0308,-0.057090909090909,0.7945454474002123,0.822408855868876,0.0278634084686637,0.0837730243943425,0.1991836585553114,-0.0313747389036682,-0.1236993844461751
