"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Simple Approach to Balance Task Loss in Multi-Task Learning","S. Liang; C. Deng; Y. Zhang","Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Southern University of Science and Technology Peng Cheng Laboratory, Shenzhen, China",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","812","823","In multi-task learning, the training losses of different tasks are varying. There are many works to handle this situation and we classify them into five categories. In this paper, we propose a Balanced Multi-Task Learning (BMTL) framework. Different from existing studies which rely on task weighting, the BMTL framework proposes to transform the training loss of each task to balance different tasks based on an intuitive idea that tasks with larger training losses will receive more attention during the optimization procedure. We analyze the transformation function and derive necessary conditions as well as some properties. The proposed BMTL framework is very simple and it can be combined with most multi-task learning models. Empirical studies show the state-of-the-art performance of the proposed BMTL framework.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671640","Multi-task Learning;Deep Neural Networks;Loss Balancing","Training;Conferences;Transforms;Big Data;Multitasking;Task analysis;Optimization","","1","","115","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Curriculum-Based Asymmetric Multi-Task Reinforcement Learning","H. Huang; D. Ye; L. Shen; W. Liu","Nanyang Technological University, Singapore; Tencent Inc., Shenzhen, China; JD.com Inc., Beijing, China; Tencent Inc., Shenzhen, China",IEEE Transactions on Pattern Analysis and Machine Intelligence,"5 May 2023","2023","45","6","7258","7269","We introduce CAMRL, the first curriculum-based asymmetric multi-task learning (AMTL) algorithm for dealing with multiple reinforcement learning (RL) tasks altogether. To mitigate the negative influence of customizing the one-off training order in curriculum-based AMTL, CAMRL switches its training mode between parallel single-task RL and asymmetric multi-task RL (MTRL), according to an indicator regarding the training time, the overall performance, and the performance gap among tasks. To leverage the multi-sourced prior knowledge flexibly and to reduce negative transfer in AMTL, we customize a composite loss with multiple differentiable ranking functions and optimize the loss through alternating optimization and the Frank-Wolfe algorithm. The uncertainty-based automatic adjustment of hyper-parameters is also applied to eliminate the need of laborious hyper-parameter analysis during optimization. By optimizing the composite loss, CAMRL predicts the next training task and continuously revisits the transfer matrix and network weights. We have conducted experiments on a wide range of benchmarks in multi-task RL, covering Gym-minigrid, Meta-world, Atari video games, vision-based PyBullet tasks, and RLBench, to show the improvements of CAMRL over the corresponding single-task RL algorithm and state-of-the-art MTRL algorithms. The code is available at: https://github.com/huanghanchi/CAMRL.","1939-3539","","10.1109/TPAMI.2022.3223872","Science and Technology Innovation 2030(grant numbers:2021ZD0201405); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9960813","Reinforcement learning;curriculum learning;asymmetric multi-task learning","Task analysis;Training;Multitasking;Reinforcement learning;Optimization;Interference;Supervised learning","","13","","40","IEEE","23 Nov 2022","","","IEEE","IEEE Journals"
"A Survey of Curriculum Learning in Deep Reinforcement Learning","S. Lin; Q. Mi; T. Gao","Software College, Northeastern University, Shenyang, China; Software College, Northeastern University, Shenyang, China; Software College, Northeastern University, Shenyang, China",2025 IEEE 15th Annual Computing and Communication Workshop and Conference (CCWC),"5 Mar 2025","2025","","","01141","01147","Curriculum learning (CL) is considered as a key component of the approach in solving many machine learning problems. CL used in deep reinforcement learning (DRL) improves the training speed, generality as well as robustness through organizing the learning trajectory for agent according to the importance of a sample throughout the training process, which provides new ideas for dealing with issues such as sparse rewards and multi-goal tasks. This paper firstly introduces the concept of curriculum learning and its relationship with reinforcement learning, then discusses the paradigms and key points of curriculum learning in deep reinforcement learning. Finally, the paper summarizes several future research hotspots in this field, so as to explore the path for subsequent related research.","","979-8-3315-0769-5","10.1109/CCWC62904.2025.10903795","National Natural Science Foundation of China(grant numbers:52130403); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10903795","curriculum learning;deep reinforcement learning;learning priority;learning trajectory","Training;Surveys;Computer vision;Machine learning algorithms;Conferences;Deep reinforcement learning;Robustness;Natural language processing;Trajectory","","","","41","IEEE","5 Mar 2025","","","IEEE","IEEE Conferences"
"Multi-Objective Algorithms for Learning Open-Ended Robotic Problems","M. Robert; S. Brodeur; F. Ferland","Dept. of Math and Informatics, Universite De Sherbrooke, Sherbrooke, Canada; Menya AI division Levio, Sherbrooke, Canada; Dept. of Electrical Eng. and Computer Eng, Universite De Sherbrooke, Sherbrooke, Canada",2024 IEEE 10th World Forum on Internet of Things (WF-IoT),"30 Dec 2024","2024","","","1","7","Quadrupedal locomotion is a complex, open-ended problem vital to expanding autonomous vehicle reach. Traditional reinforcement learning approaches often fall short due to training instability and sample inefficiency. We propose a novel method leveraging multi-objective evolutionary algorithms as an automatic curriculum learning mechanism, which we named Multi-Objective Learning (MOL). Our approach significantly enhances the learning process by projecting velocity commands into an objective space and optimizing for both performance and diversity. Tested within the MuJoCo physics simulator, our method demonstrates superior stability and adaptability compared to baseline approaches. As such, it achieved 19% and 44% fewer errors against our best baseline algorithm in difficult scenarios based on a uniform and tailored evaluation respectively. This work introduces a robust framework for training quadrupedal robots, promising significant advancements in robotic locomotion and open-ended robotic problems.","2768-1734","979-8-3503-7301-1","10.1109/WF-IoT62078.2024.10811432","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10811432","Multi-objective;robotic;reinforcement learning;automatic curriculum learning;evolutionary algorithms","Training;Schedules;Heuristic algorithms;Reinforcement learning;Stability analysis;Quadrupedal robots;Standards;Thermal stability;Physics;Bars","","","","19","IEEE","30 Dec 2024","","","IEEE","IEEE Conferences"
"Multi-Task Long-Range Urban Driving Based on Hierarchical Planning and Reinforcement Learning","X. Zhang; M. Wu; H. Ma; T. Hu; J. Yuan","Department of EE, Tsinghua University, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; Department of EE, Tsinghua University, Beijing, China",2021 IEEE International Intelligent Transportation Systems Conference (ITSC),"25 Oct 2021","2021","","","726","733","Multi-task long-range autonomous driving in urban areas is a challenging task. Traditional methods are not applicable to situations with high-dimensional observations. Current reinforcement learning (RL) based algorithms are able to train agents to utilize high-dimensional signals for vehicle control and accomplish short-range tasks. However, current RL methods do not work well on multi-task long-range urban driving tasks. In this paper, we propose a novel Hierarchical-planning and Spatial-encoding-based Multi-task Reinforcement Learning (HSMRL) model for the autonomous driving problem in urban areas. For long-range tasks, global routes are planned in real-time based on the A* algorithm, and short-range tasks are constructed based on the global routes, through which the short-range tasks are regarded as sub-tasks of long-range tasks. Then the short-range task information is efficiently encoded using spatial encoding, and the short-range tasks are accomplished by RL algorithms. We also prove that under our settings, multiple autonomous driving tasks are capable of training a shared policy. Experiments show that our method can stably accomplish the multi-task long-range driving tasks and performs significantly better than the state-of-the-art methods.","","978-1-7281-9142-3","10.1109/ITSC48978.2021.9564705","National Natural Science Foundation of China(grant numbers:U20B2062,61673237); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564705","","Training;Urban areas;Reinforcement learning;Real-time systems;Encoding;Planning;Task analysis","","2","","30","IEEE","25 Oct 2021","","","IEEE","IEEE Conferences"
"Curricular Robust Reinforcement Learning via GAN-Based Perturbation Through Continuously Scheduled Task Sequence","Y. Li; Y. Tian; E. Tong; W. Niu; Y. Xiang; T. Chen; Y. Wu; J. Liu","Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China; Beijing Key Laboratory of Security and Privacy in Intelligent Transportation, Beijing Jiaotong University, Beijing, China",Tsinghua Science and Technology,"21 Jul 2022","2023","28","1","27","38","Reinforcement learning (RL), one of three branches of machine learning, aims for autonomous learning and is now greatly driving the artificial intelligence development, especially in autonomous distributed systems, such as cooperative Boston Dynamics robots. However, robust RL has been a challenging problem of reliable aspects due to the gap between laboratory simulation and real world. Existing efforts have been made to approach this problem, such as performing random environmental perturbations in the learning process. However, one cannot guarantee to train with a positive perturbation as bad ones might bring failures to RL. In this work, we treat robust RL as a multi-task RL problem, and propose a curricular robust RL approach. We first present a generative adversarial network (GAN) based task generation model to iteratively output new tasks at the appropriate level of difficulty for the current policy. Furthermore, with these progressive tasks, we can realize curricular learning and finally obtain a robust policy. Extensive experiments in multiple environments demonstrate that our method improves the training stability and is robust to differences in training/test conditions.","1007-0214","","10.26599/TST.2021.9010076","National Natural Science Foundation of China(grant numbers:61972025,61802389,61672092,U1811264,61966009); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9837021","robust reinforcement learning;generative adversarial network (GAN) based model;curricular learning","Training;Perturbation methods;Reinforcement learning;Generative adversarial networks;Multitasking;Particle measurements;Stability analysis","","10","","36","","21 Jul 2022","","","TUP","TUP Journals"
"End-to-end Multi-Objective Deep Reinforcement Learning for Autonomous Navigation","Q. Shen; G. Xiang; S. Feng; Z. Pan; K. Xu","College of Automation, Guangxi University of Science and Technology; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, ShenZhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, ShenZhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, ShenZhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, ShenZhen, China",2023 IEEE International Conference on Real-time Computing and Robotics (RCAR),"20 Sep 2023","2023","","","979","984","Autonomous navigation with an end-to-end reinforcement learning paradigm for ground vehicles poses significant safety and multi-objective challenges, limiting its practical implementation in real-world scenarios. This research proposes a reinforcement learning approach to address the challenges of end-to-end navigation policy that accounts for dynamic multi-objectives along with safety concerns. An action selection law is designed to ensure smooth sequential actions. The dynamic weighting of multiple objectives enhances adaptivity in policy learning. To improve safety, intensive rewards are used to penalize sparse risky actions. The proposed approach is validated using three deep reinforcement learning frameworks in a 2D world navigation task of pursuing dynamic goals while avoiding obstacles. This research presents a promising solution to achieve a multi-objective end-to-end policy for handling dynamic and complex scenarios.","","979-8-3503-2718-2","10.1109/RCAR58764.2023.10249369","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10249369","","Deep learning;Limiting;Navigation;Reinforcement learning;Real-time systems;Safety;Trajectory","","1","","23","IEEE","20 Sep 2023","","","IEEE","IEEE Conferences"
"Flight Mastery in Turbulent Skies: Shared Control and Curriculum Reinforcement Learning for Crosswind Landing","Z. Shi; X. Chen; Z. Liu; X. Yang; C. Zhang; Y. Yu; J. You; X. Lan","National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Application, Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, Shaanxi, China; National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Application, Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, Shaanxi, China; National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Application, Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, Shaanxi, China; National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Application, Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, Shaanxi, China; National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Application, Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, Shaanxi, China; Chinese Flight Test Establishment, Xi’an, Shaanxi, China; Chinese Flight Test Establishment, Xi’an, Shaanxi, China; National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Application, Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, Shaanxi, China",IEEE Transactions on Intelligent Transportation Systems,"29 Oct 2025","2025","26","10","15546","15557","Landing in crosswind conditions poses significant challenges for aircraft, as traditional control methods often fail to ensure stability in rapidly changing wind environments. While reinforcement learning offers a promising alternative, it typically suffers from low sample efficiency and limited generalization under stochastic wind fields. To address these challenges, we propose a Shared Control and Curriculum Reinforcement Learning framework. We model the crosswind landing task as a Markov Decision Process (MDP), explicitly defining the state space, action space, and wind field representation. To initialize learning, we decompose the multi-objective landing task into four sub-tasks—altitude, attitude, heading, and speed control—and train expert policies for each. These are then distilled into a shared control model via behavior cloning, providing a pre-trained policy with basic flight control capabilities. We further fine-tune this model using curriculum reinforcement learning, progressively increasing the complexity of wind conditions to enhance robustness and generalization. Experimental results across multiple aircraft and wind scenarios show that our method improves landing success rates and trajectory smoothness, while generalizing more effectively to unseen wind conditions, outperforming PID controllers, imitation learning, and mainstream RL baselines.","1558-0016","","10.1109/TITS.2025.3599932","NSFC(grant numbers:62125305,U23A20339,62088102,62203348,62202370); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11142541","Aircraft landing;crosswind control;reinforcement learning;curriculum learning;shared control;generalization;autonomous flight;flight simulation","Aircraft;Aerodynamics;Reinforcement learning;Aerospace electronics;Atmospheric modeling;Stochastic processes;Training;Vehicle dynamics;Trajectory;Adaptation models","","","","51","IEEE","26 Aug 2025","","","IEEE","IEEE Journals"
"Theoretical Study of Conflict-Avoidant Multi-Objective Reinforcement Learning","Y. Wang; P. Xiao; H. Ban; K. Ji; S. Zou","School of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; Department of Computer Science and Engineering, University at Buffalo, Buffalo, NY, USA; Department of Computer Science and Engineering, University at Buffalo, Buffalo, NY, USA; Department of Computer Science and Engineering, University at Buffalo, Buffalo, NY, USA; School of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA",IEEE Transactions on Information Theory,"22 Aug 2025","2025","71","9","7254","7269","Multi-objective reinforcement learning (MORL) has shown great promise in many real-world applications. Existing MORL algorithms often aim to learn a policy that optimizes individual objective functions simultaneously with a given prior preference (or weights) on different objectives. However, these methods often suffer from the issue of gradient conflict such that the objectives with larger gradients dominate the update direction, resulting in a performance degeneration on other objectives. In this paper, we develop a novel dynamic weighting multi-objective actor-critic algorithm (MOAC) under two options of sub-procedures named as conflict-avoidant (CA) and faster convergence (FC) in objective weight updates. MOAC-CA aims to find a CA update direction that maximizes the minimum value improvement among objectives, and MOAC-FC targets at a much faster convergence rate. We provide a comprehensive finite-time convergence analysis for both algorithms. We show that MOAC-CA can find a  $\epsilon +\epsilon _{\text {app}}$ -accurate Pareto stationary policy using  $\mathcal {O}({\epsilon ^{-5}})$  samples, while ensuring a small  $\epsilon +\sqrt {\epsilon _{\text {app}}}$ -level CA distance (defined as the distance to the CA direction), where  $\epsilon _{\text {app}}$  is the function approximation error. The analysis also shows that MOAC-FC improves the sample complexity to  $\mathcal {O}(\epsilon ^{-3})$ , but with a constant-level CA distance. Our experiments on MT10 demonstrate the improved performance of our algorithms over existing MORL methods with fixed preference.","1557-9654","","10.1109/TIT.2025.3581454","National Science Foundation(grant numbers:CCF-2438429,ECCS-2438392); NSF(grant numbers:CCF-2311274,ECCS-2326592); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11044347","Pareto stationary;actor-critic;dynamic weight;linear function approximation;finite sample analysis","Complexity theory;Convergence;Heuristic algorithms;Function approximation;Approximation algorithms;Linear programming;Kernel;Optimization;Estimation;Training","","","","43","IEEE","19 Jun 2025","","","IEEE","IEEE Journals"
"Large-Scale Cooperative Task Offloading and Resource Allocation in Heterogeneous MEC Systems via Multiagent Reinforcement Learning","Z. Gao; L. Yang; Y. Dai","School of Computer Science and Engineering, Northeastern University, Shenyang, China; School of Computer Science and Engineering, Northeastern University, Shenyang, China; School of College of Software, Northeastern University, Shenyang, China",IEEE Internet of Things Journal,"8 Jan 2024","2024","11","2","2303","2321","In multiaccess edge computing (MEC) systems, existing task offloading methods have provided ultrashort latency services for heterogeneous tasks on mobile devices (MDs). Nevertheless, the complexity of MEC systems grows exponentially with the number of MDs or edge servers (ESs), so learning a good offloading policy is a huge challenge when the number of MDs or ESs is large. Moreover, MDs are often unable to find optimal ESs for offloading since the restricted ESs infrastructures and the spatiotemporally imbalanced task offloading requirements. To solve these problems, we propose a curriculum spatiotemporal multiagent actor–critic (CSTMAAC)-based task offloading method. Each ES is regarded as an agent and the problem is formulated as a multiobjective optimization task. To adapt to the large-scale MEC systems, we first introduce an evolutionary curriculum learning by gradually raising the number of trained ES agents in a phased way. Second, to facilitate the coordination of the offloading policies among geographically distributed ESs, we design an attention-based centralized critic-network. Besides, a delayed access mechanism is introduced that uses information about future task processing competition to capture the impact of potential future task processing contention and help ES agents obtain a better offloading strategy. Finally, critic-network is expanded to multicritics and a dynamic weight mechanism is designed to adaptively optimize multiobjectives and obtain a good balance for multiple objectives. Real-world data sets used in experiments demonstrate that CSTMAAC raises task completion rates and total utility by 13.01%–15.21% and 16.89%–18.32% compared with the existing algorithms.","2327-4662","","10.1109/JIOT.2023.3292387","National Key Research and Development Plan of China(grant numbers:2021YFF0901205); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173664","Curriculum learning;multiaccess edge computing (MEC);reinforcement learning (RL);resource allocation;task offloading","Task analysis;Resource management;Training;Optimization;Internet of Things;Collaboration;Heuristic algorithms","","15","","65","IEEE","5 Jul 2023","","","IEEE","IEEE Journals"
