"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier,Chosen
"A Simple Approach to Balance Task Loss in Multi-Task Learning","S. Liang; C. Deng; Y. Zhang","Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Computer Science and Engineering, Southern University of Science and Technology Peng Cheng Laboratory, Shenzhen, China",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","812","823","In multi-task learning, the training losses of different tasks are varying. There are many works to handle this situation and we classify them into five categories. In this paper, we propose a Balanced Multi-Task Learning (BMTL) framework. Different from existing studies which rely on task weighting, the BMTL framework proposes to transform the training loss of each task to balance different tasks based on an intuitive idea that tasks with larger training losses will receive more attention during the optimization procedure. We analyze the transformation function and derive necessary conditions as well as some properties. The proposed BMTL framework is very simple and it can be combined with most multi-task learning models. Empirical studies show the state-of-the-art performance of the proposed BMTL framework.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671640","Multi-task Learning;Deep Neural Networks;Loss Balancing","Training;Conferences;Transforms;Big Data;Multitasking;Task analysis;Optimization","","1","","115","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences",False
"Early Lane Change Prediction for Automated Driving Systems Using Multi-Task Attention-Based Convolutional Neural Networks","S. Mozaffari; E. Arnold; M. Dianati; S. Fallah","Warwick Manufacturing Group, University of Warwick, Coventry, U.K.; Warwick Manufacturing Group, University of Warwick, Coventry, U.K.; Warwick Manufacturing Group, University of Warwick, Coventry, U.K.; Department of Mechanical Engineering Sciences, University of Surrey, Guildford, U.K.",IEEE Transactions on Intelligent Vehicles,"25 Oct 2022","2022","7","3","758","770","Lane change (LC) is one of the safety-critical manoeuvres in highway driving according to various road accident records. Thus, reliably predicting such manoeuvre in advance is critical for the safe and comfortable operation of automated driving systems. The majority of previous studies rely on detecting a manoeuvre that has been already started, rather than predicting the manoeuvre in advance. Furthermore, most of the previous works do not estimate the key timings of the manoeuvre (e.g., crossing time), which can actually yield more useful information for the decision making in the ego vehicle. To address these shortcomings, this paper proposes a novel multi-task model to simultaneously estimate the likelihood of LC manoeuvres and the time-to-lane-change (TTLC). In both tasks, an attention-based convolutional neural network (CNN) is used as a shared feature extractor from a bird’s eye view representation of the driving environment. The spatial attention used in the CNN model improves the feature extraction process by focusing on the most relevant areas of the surrounding environment. In addition, two novel curriculum learning schemes are employed to train the proposed approach. The extensive evaluation and comparative analysis of the proposed method in existing benchmark datasets show that the proposed method outperforms state-of-the-art LC prediction models, particularly considering long-term prediction performance.","2379-8904","","10.1109/TIV.2022.3161785","U.K.-EPSRC; Towards Autonomy: Smart and Connected Control(grant numbers:EP/N01300X/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9740533","Vehicle behaviour prediction;automated driving;multi-task learning;curriculum learning;attention mechanism","TV;Predictive models;Feature extraction;Convolutional neural networks;Multitasking;Timing;Vehicle dynamics","","57","","44","IEEE","23 Mar 2022","","","IEEE","IEEE Journals",False
"Comparison of Loss Function Weighting Methods for Multi-Loss Function GAN","Y. Setiyadi; J. Santoso; K. Surendro","School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia",2024 Ninth International Conference on Informatics and Computing (ICIC),"15 Apr 2025","2024","","","1","6","In the domain of image generation, Generative Adversarial Networks (GANs) have gained substantial attention since they were originally introduced. GANs are now required to produce images under particular circumstances that are customized to the needs of the user. One way to overcome this problem is to modify GANs to allow user-defined features to be taken into account during the training process. This is accomplished by including an additional network to assess the images produced by the GAN; the assessment outcomes are then incorporated into the GAN’s loss function. There must be a plan in place to ascertain the weight or contribution of each component in the total loss function, which grows as the number of factors that must be taken into account rises (multi-loss function). In this work, the original GAN is used as the initial comparison model to evaluate two weighting techniques used in multi-loss GANs: the static weighting approach and a dynamic weighting method. The experimental results reveal that the static weighting approach’s Inception Score and FID values outperform those of the dynamic technique and baseline GAN. More investigation is still needed into the dynamic approach used in this work, which promises automated weighting in multi-loss GANs.","","979-8-3315-1760-1","10.1109/ICIC64337.2024.10957579","Institut Teknologi Bandung; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10957579","image generation;GAN;weighting methods;multi-loss function","Training;Image synthesis;Generative adversarial networks;Informatics;Optimization","","","","26","IEEE","15 Apr 2025","","","IEEE","IEEE Conferences",False
"Curriculum-Based Asymmetric Multi-Task Reinforcement Learning","H. Huang; D. Ye; L. Shen; W. Liu","Nanyang Technological University, Singapore; Tencent Inc., Shenzhen, China; JD.com Inc., Beijing, China; Tencent Inc., Shenzhen, China",IEEE Transactions on Pattern Analysis and Machine Intelligence,"5 May 2023","2023","45","6","7258","7269","We introduce CAMRL, the first curriculum-based asymmetric multi-task learning (AMTL) algorithm for dealing with multiple reinforcement learning (RL) tasks altogether. To mitigate the negative influence of customizing the one-off training order in curriculum-based AMTL, CAMRL switches its training mode between parallel single-task RL and asymmetric multi-task RL (MTRL), according to an indicator regarding the training time, the overall performance, and the performance gap among tasks. To leverage the multi-sourced prior knowledge flexibly and to reduce negative transfer in AMTL, we customize a composite loss with multiple differentiable ranking functions and optimize the loss through alternating optimization and the Frank-Wolfe algorithm. The uncertainty-based automatic adjustment of hyper-parameters is also applied to eliminate the need of laborious hyper-parameter analysis during optimization. By optimizing the composite loss, CAMRL predicts the next training task and continuously revisits the transfer matrix and network weights. We have conducted experiments on a wide range of benchmarks in multi-task RL, covering Gym-minigrid, Meta-world, Atari video games, vision-based PyBullet tasks, and RLBench, to show the improvements of CAMRL over the corresponding single-task RL algorithm and state-of-the-art MTRL algorithms. The code is available at: https://github.com/huanghanchi/CAMRL.","1939-3539","","10.1109/TPAMI.2022.3223872","Science and Technology Innovation 2030(grant numbers:2021ZD0201405); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9960813","Reinforcement learning;curriculum learning;asymmetric multi-task learning","Task analysis;Training;Multitasking;Reinforcement learning;Optimization;Interference;Supervised learning","","13","","40","IEEE","23 Nov 2022","","","IEEE","IEEE Journals",True
"Adaptive Data and Task Joint Scheduling for Multi-Task Learning","Z. Liu; H. Chai; C. Li; L. Wang; Q. Liao","Harbin Institute of Technology (Shenzhen), Shenzhen, China; The Chinese University of Hong Kong, Hong Kong, China; Harbin Institute of Technology (Shenzhen), Shenzhen, China; Harbin Institute of Technology (Shenzhen), Shenzhen, China; Harbin Institute of Technology (Shenzhen), Shenzhen, China",2025 IEEE 41st International Conference on Data Engineering (ICDE),"20 Aug 2025","2025","","","2038","2051","Multi-task Learning (MTL) involves training multiple tasks within a single model to improve overall performance by leveraging shared knowledge. However, this joint training can result in performance degradation due to task conflicts, typically manifesting as conflicts in task gradients. Existing solutions primarily focus on modeling task gradient relationships, which overlook the differences in how the same data sample influences different tasks. These differences are the source of intricate task gradient relationships and could further lead to varying degrees of impact from conflicts on tasks. To tackle these challenges, we propose DTJS, a novel adaptive Data and Task Joint Scheduling approach for MTL, which uniquely considers the influence of data within each task and the distinct task perception of gradient conflicts from an innovative scheduling perspective. Specifically, we design intra-task scheduling to quantify the difficulty level of the data based on its influence within each task, facilitating easy-to-hard data scheduling. Concurrently, inter-task scheduling is proposed to capture the diverse relationship among joint learning tasks via assessing the severity of conflicts between tasks and adaptively considering their effects on individual tasks through learnable task conflict perception. Furthermore, DTJS utilizes a bi-level optimization strategy that alternately updates model parameters and the learnable task conflict perception, taking into account their interdependence. Scheduled model gradients are used to optimize the MTL model, while implicit gradients refine the learnable task conflict perception. Extensive experimental results not only demonstrate that DTJS improves the performance of the MTL model over SOTA methods across various scenarios but also explain how DTJS schedules both data and tasks to bring performance improvements. The code is available at https://github.com/ZeyuLiu0706IDTJS.","2375-026X","979-8-3315-3603-9","10.1109/ICDE65448.2025.00155","National Key Research and Development Program of China(grant numbers:2023YFB3107000); National Natural Science Foundation of China(grant numbers:62227808); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113158","multi-task learning;curriculum learning;adaptive scheduling;task conflicts","Training;Degradation;Adaptation models;Schedules;Adaptive scheduling;Codes;Multitasking;Data engineering;Data models;Optimization","","","","65","IEEE","20 Aug 2025","","","IEEE","IEEE Conferences",False
"Hierarchical Curriculum Learning for Dysarthric Speech Recognition via Multi-Level Knowledge Distillation","I. -T. Hsieh; C. -H. Wu","Graduate Program of Multimedia Systems and Intelligent Computing, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan","IEEE Transactions on Audio, Speech and Language Processing","21 Aug 2025","2025","33","","3553","3567","Automatic speech recognition (ASR) for dysarthric speech faces three major challenges: (1) data scarcity, (2) variability in speech patterns, and (3) imbalanced performance across different speech intelligibility groups. To primarily address the performance imbalance, we propose a Hierarchical Curriculum Learning (HCL) framework consisting of: (a) a hierarchical architecture that trains separate ASR models for each intelligibility group to reduce cross-group interference, (b) a multi-level knowledge distillation strategy that progressively transfers knowledge from higher to lower intelligibility groups, and (c) a fusion model that integrates predictions from group-specific ASR models. To further tackle data scarcity and variability, the proposed method incorporates meta-learning, intelligibility classification, and data augmentation tailored for dysarthric speech. Unlike prior work that adopts uniform training strategies, our approach explicitly models inter-group differences and enables effective knowledge sharing. Experiments on the UASpeech and Torgo corpus show that the proposed method achieves average WERs of 19.44% and 6.12%, respectively, with consistent and statistically significant improvements across all intelligibility groups.","2998-4173","","10.1109/TASLPRO.2025.3597438","National Science and Technology Council(grant numbers:114-2221-E-006-056-MY3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11122259","Automatic speech recognition (ASR);dysarthric speech;curriculum learning;knowledge distillation","Training;Speech recognition;Adaptation models;Standards;Data models;Predictive models;Metalearning;Data mining;Artificial intelligence;Training data","","","","59","IEEE","11 Aug 2025","","","IEEE","IEEE Journals",True
"Revisiting Fairness in Multitask Learning: A Performance-Driven Approach for Variance Reduction","X. Qin; X. Wang; J. Yan","School of Computer Science & School of Artificial Intelligience, Shanghai Jiao Tong University; School of Computer Science & School of Artificial Intelligience, Shanghai Jiao Tong University; School of Computer Science & School of Artificial Intelligience, Shanghai Jiao Tong University",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"13 Aug 2025","2025","","","20492","20501","Multi-task learning (MTL) can leverage shared knowledge across tasks to improve data efficiency and generalization performance, and has been applied in various scenarios. However, task imbalance remains a major challenge for existing MTL methods. While the prior works have attempted to mitigate inter-task unfairness through loss-based and gradient-based strategies, they still exhibit imbalanced performance across tasks on common benchmarks. This key observation motivates us to consider performance-level information as an explicit fairness indicator, which can precisely reflect the current optimization status of each task, and accordingly help to adjust the gradient aggregation process. Specifically, we utilize the performance variance among tasks as the fairness indicator and introduce a dynamic weighting strategy to gradually reduce the performance variance. Based on this, we propose PIVRG, a novel performance-informed variance reduction gradient aggregation approach. Extensive experiments show that PIVRG achieves SOTA performance across various benchmarks, spanning both supervised learning and reinforcement learning tasks with task numbers ranging from 2 to 40. Results from the ablation study also show that our approach can be integrated into existing methods, significantly enhancing their performance while reducing the performance variance among tasks, thus achieving fairer optimization.","2575-7075","979-8-3315-4364-8","10.1109/CVPR52734.2025.01908","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11092442","","Computer vision;Supervised learning;Reinforcement learning;Benchmark testing;Multitasking;Distance measurement;Pattern recognition;Optimization","","","","43","IEEE","13 Aug 2025","","","IEEE","IEEE Conferences",False
"Calculation of Optimized Pulse Patterns for Electric Drives with an End-To-End Differentiable Simulation Framework","L. Hölsch; D. Wiechmann; O. Schweins; O. Wallscheid","Chair of Interconnected Automation Systems, University of Siegen, Siegen, Germany; Chair of Interconnected Automation Systems, University of Siegen, Siegen, Germany; Department of Power Electronics and Electrical Drives, Paderborn University, Paderborn, Germany; Chair of Interconnected Automation Systems, University of Siegen, Siegen, Germany",2025 IEEE International Electric Machines & Drives Conference (IEMDC),"4 Jul 2025","2025","","","922","928","Calculating optimized pulse patterns (OPPs) for electric drives can be computationally expensive due to the complex and eventually nonlinear problem space. Furthermore, the often-applied multi start approach to find the global minimum increases the numerical burden. Hence, in this work, an end-to-end differentiable JAX-based simulation framework to calculate OPPs for electric drives is presented, enabling the efficient determination of the cost function gradients, therefore allowing faster optimization times. In addition, the introduced nonlinear drive model based on measured flux linkage maps, shows a significant difference with concern to the stator current trajectories in comparison to the linear model. This directly affects the loss and torque calculation during the optimization, which has a major impact on the resulting pulse pattern. The multi objective optimization highlights the best possible OPPs, which are further analyzed in comparison to a triangular carrier-based pulse width modulation. The selected OPP reduces the losses of approx. 8% and produces a 39% lower torque ripple.","2994-2950","979-8-3503-7659-3","10.1109/IEMDC60492.2025.11061001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11061001","End-to-end differentiable simulation;inverter;JAX;optimized pulse patterns;permanent magnet synchronous machine","Permanent magnet machines;Couplings;Torque;Current measurement;Stators;Pulse width modulation;Inverters;Trajectory;Numerical models;Torque measurement","","","","23","IEEE","4 Jul 2025","","","IEEE","IEEE Conferences",False
"Adaptive Weighting Based Metal Artifact Reduction in CT Images","H. Wang; Y. Wu; Y. Wang; D. Wei; X. Wu; J. Ma; Y. Zheng","Jarvis Research Center, Tencent YouTu Lab, Shenzhen, China; Department of Computer Science, City University of Hong Kong, Hong Kong, China; School of Life Science and Technology, Xi’an Jiaotong University, Xi’an, China; Jarvis Research Center, Tencent YouTu Lab, Shenzhen, China; Jarvis Research Center, Tencent YouTu Lab, Shenzhen, China; School of Life Science and Technology, Xi’an Jiaotong University, Xi’an, China; Jarvis Research Center, Tencent YouTu Lab, Shenzhen, China",IEEE Transactions on Medical Imaging,"4 Jun 2025","2025","44","6","2408","2423","Against the metal artifact reduction (MAR) task in computed tomography (CT) imaging, most of the existing deep-learning-based approaches generally select a single Hounsfield unit (HU) window followed by a normalization operation to preprocess CT images. However, in practical clinical scenarios, different body tissues and organs are often inspected under varying window settings for good contrast. The methods trained on a fixed single window would lead to insufficient removal of metal artifacts when being transferred to deal with other windows. To alleviate this problem, few works have proposed to reconstruct the CT images under multiple-window configurations. Albeit achieving good reconstruction performance for different windows, they adopt to directly supervise each window learning in an equal weighting way based on the training set. To improve the learning flexibility and model generalizability, in this paper, we propose an adaptive weighting algorithm, called AdaW, for the multiple-window metal artifact reduction, which can be applied to different deep MAR network backbones. Specifically, we first formulate the multiple window learning task as a bi-level optimization problem. Then we derive an adaptive weighting optimization algorithm where the learning process for MAR under each window is automatically weighted via a learning-to-learn paradigm based on the training set and validation set. This rationality is finely substantiated through theoretical analysis. Based on different network backbones, experimental comparisons executed on five datasets with different body sites comprehensively validate the effectiveness of AdaW in helping improve the generalization performance as well as its good applicability. We will release the code at https://github.com/hongwang01/AdaW.","1558-254X","","10.1109/TMI.2025.3534316","Young Elite Scientists Sponsorship Program by China Association for Science and Technology (CAST)(grant numbers:2023QNRC001); NSFC(grant numbers:21A6005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10887049","Metal artifact reduction;bi-level optimization;learning-to-learn;model generalization","Computed tomography;Metals;Image reconstruction;Windows;Training;Optimization;Adaptation models;Metalearning;Adaptive systems;Data models","Artifacts;Tomography, X-Ray Computed;Humans;Metals;Algorithms;Image Processing, Computer-Assisted;Deep Learning;Phantoms, Imaging","","","56","IEEE","13 Feb 2025","","","IEEE","IEEE Journals",False
"Wireless Capsule Endoscopy Diagnosis Using Prototype Self-Attention and Dynamic Curriculum Learning","X. Li; Q. Wu; Y. Chen; K. Wu; L. Meng","School of Management, Huazhong University of Science and Technology, Wuhan, China; School of Management, Huazhong University of Science and Technology, Wuhan, China; College of Systems Engineering, National University of Defense Technology, Changsha, China; Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China; College of Science and Engineering, Ritsumeikan University, Kusatsu, Japan",IEEE Transactions on Automation Science and Engineering,"29 Apr 2025","2025","22","","14260","14271","Wireless capsule endoscopy is a non-invasive and painless approach for diagnosing gastrointestinal diseases. An automated medical decision support system can significantly enhance clinician efficiency and reduce the incidence of misdiagnosis when analyzing lesions within the 50,000 to 100,000 image frames generated for each individual. However, only a small number of previous studies have focused on fine-grained recognition characteristics, and very few have simultaneously addressed both fine-grained recognition and class imbalance issues in wireless capsule endoscopy. To address these issues, we propose a novel medical decision support network that includes a prototype attention enhancement module and a dynamic curriculum learning approach. The prototype attention enhancement module improves lesion-sensitive compact representation learning by leveraging cosine similarity between the representation and a prototype memory with multi-class centers. The dynamic curriculum learning adopts triplet loss and weighted cross-entropy, facilitated by a progressive factor that controls between fine-grained representation learning and class-sensitive learning. Through extensive comparative experiments on three public datasets, the proposed network demonstrated competitive performance, outperforming previous methods with an F1-score of 96.6% on the 10-class Kvasir-Capsule dataset, an accuracy of 98.3% on the CAD-CAP dataset, and an accuracy of 93.7% on the mixed KID dataset. Two additional gastrointestinal histopathology datasets confirm the generalization of the proposed network. The code will be available at https://github.com/Xingcun-Li/MDSN-WCE Note to Practitioners—The primary aim of this study is to address diagnostic challenges in automated wireless capsule endoscopy (WCE). WCE provides a non-invasive diagnostic method for gastrointestinal diseases, but manual analysis of the resulting large volume of image data is time-consuming and error-prone. To this end, we propose a novel medical decision support network, which is also applicable to similar medical image analysis issues characterized by class imbalance and fine-grained recognition. Our approach integrates a prototype attention enhancement (PAE) module and dynamic curriculum learning (DCL), enabling the model to accurately identify lesions within WCE images and exhibit favorable performance in gastrointestinal histopathology image recognition beyond the WCE domain. Additionally, our approach can be applied to various common deep learning models without incurring significant additional computational costs, thereby aiding endoscopists in significantly reducing the time required for diagnosing WCE video frames. The code will be uploaded to GitHub for direct use in the automated diagnosis of WCE video frames. While our method shows promise, its main focus is on rapidly identifying a large number of frames within WCE videos. However, further work is needed to extract key frames and improve the interpretability of outputs from WCE videos, which is also a future research direction.","1558-3783","","10.1109/TASE.2025.3558934","National Natural Science Foundation of China (NSFC)(grant numbers:72122006,72471100); Interdisciplinary Research Program of Huazhong University of Science and Technology(grant numbers:5003300129); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10955431","Wireless capsule endoscopy;fine-grained recognition;class imbalance;medical image classification;deep learning","Gastrointestinal tract;Lesions;Medical diagnostic imaging;Feature extraction;Training;Prototypes;Endoscopes;Representation learning;Cancer;Automation","","","","60","IEEE","8 Apr 2025","","","IEEE","IEEE Journals",True
