Title;Chosen
MTL-BERT: A Multi-Task Learning Framework for Efficient Sentiment and Topic Analysis in Engineering Applications;True
SPC: Selective Patches Consistency for Cross-Domain Few-Shot Learning;True
Socialized Coevolution: Advancing a Better World through Cross-Task Collaboration;False
Task-adaptive debiasing with SCM for sentiment analysis;False
M2-reasoning: Empowering mllms with unified general and spatial reasoning;False
REST: Drug-drug interaction prediction via reinforced student-teacher curriculum learning;True
Open-ended coordination for multi-agent systems using modular open policies;True
Fusing Adaptive Game Theory and Deep Reinforcement Learning for Multi-UAV Swarm Navigation;False
Scheduling the Off-Diagonal Weingarten Loss of Neural SDFs for CAD Models;False
Beyond Standard Losses: Redefining Text-to-SQL with Task-Specific Optimization;True
A lightweight operation mode decision method for cleaning robots driven by garbage attributes perception;True
Bilevel optimization to learn training distributions for language modeling under domain shift;False
Leveraging multimodal learning for enhanced drug-target interaction prediction;False
Shy-hunyuan-MT at WMT25 General Machine Translation Shared Task;True
Backpropagation-based Parameter Tuning and Granular Alignment for Multi-target Domain Adaptation;True
LocalGCL: Local-aware Contrastive Learning for Graphs;True
Adaptive training distributions with scalable online bilevel optimization;True
Vision Large Language Models Are Good Noise Handlers in Engagement Analysis;True
Uncertainty-aware evidential fusion-based learning for semi-supervised medical image segmentation;True
A weighted difference loss approach for enhancing multi-label classification;True
A Systematic Literature Review on Multimodal Aspect-Based Sentiment Analysis;False
Real-time biomechanical feedback system for swimming turn analysis based on convolutional neural networks and temporal attention mechanism.;False
Modular deep learning;True
Bridging VLMs and Embodied Intelligence with Deliberate Practice Policy Optimization;False
Reinforced mllm: A survey on rl-based reasoning in multimodal large language models;True
HAND: Hierarchical Attention Network for Multi-Scale Handwritten Document Recognition and Layout Analysis;True
Object Segmentation Based on Pseudo Supervision Re-Learning Under Extremely Weak Annotations for Remote Sensing Images;True
Enhancing Predictive Accuracy in Product Usage Forecasting through a Meta-Learned Attention-Based DeepFM Framework;False
Feature Based Methods in Domain Adaptation for Object Detection: A Review Paper;True
Detecting Data Deviations in Electronic Health Records;True
Unlabeled Insight, Labeled Boost: Contrastive Learning and Class-Adaptive Pseudo-Labeling for Semi-Supervised Medical Image Classification;True
Tracing truth: dynamic temporal networks for multi-modal fake news detection;False
STRIDE: Automating Reward Design, Deep Reinforcement Learning Training and Feedback Optimization in Humanoid Robotics Locomotion;True
Real Time Control of Tandem-Wing Experimental Platform Using Concerto Reinforcement Learning;False
NEXT-GENERATION AI-DRIVEN FRAMEWORKS FOR EARLY LUNG CANCER DETECTION USING ADVANCED IMAGING PROCESSING AND PREDICTIVE;False
IA-MoE: An Intensity-Aware Mixture of Experts Framework for Dynamic DNN Partitioning and Efficient Inference;False
An Improved Deep Learning Network, Addressing Graph Node Imbalance in Social Media Rumor Source Detection;False
Training and operating neural network based ranking model;False
Sdat-former++: A foggy scene semantic segmentation method with stronger domain adaption teacher for remote sensing images;True
UniAPL: A Unified Adversarial Preference Learning Framework for Instruct-Following;False
Ten challenging problems in federated foundation models;False
Advances in multimodal adaptation and generalization: From traditional approaches to foundation models;False
LLMs can realize combinatorial creativity: generating creative ideas via LLMs for scientific research;False
A survey of direct preference optimization;True
Recent Advances in Federated Learning Driven Large Language Models: A Survey on Architecture, Performance, and Security;False
Multimodal Deep Learning Architectures for Precision Medicine: Integrating Genomic, Imaging, and Clinical Data;False
Detection and Correction of English Grammar Errors Using Natural Language Processing Methods;False
REST-UNet-Based Interference Mitigation for Concurrent PNC Scheme in Full-Duplex Wireless Networks;False
Skill-it! a data-driven skills framework for understanding and training language models;True
When Remote Sensing Meets Foundation Model: A Survey and Beyond.;False
Multi-Kernel Correlation-Attention Vision Transformer for Enhanced Contextual Understanding and Multi-Scale Integration;False
Uncertainty Estimation Pseudo-Labels Guided Source-Free Domain Adaptation for Cross-Domain Remaining Useful Life Prediction in IIoT;False
TMS-GNN;True
Physics-guided machine learning is unlocking new capabilities in modeling complex systems;False
Timebalance: Temporally-invariant and temporally-distinctive video representations for semi-supervised action recognition;True
Multi-Scale Temporal Attention Processing System for Multimodal Deep Learning with Vector-Quantized Variational Autoencoder;False
On the opportunities of green computing: A survey;True
Advancements in AI-Generated Content Forensics: A Systematic Literature Review;False
Increasing importance of joint analysis of audio and video in computer vision: a survey;True
Applied Deep Learning for Natural Language Processing with AllenNLP: The Complete Guide for Developers and Engineers;True
Prototype equilibrium network with group emotional contagion for few-shot emotion recognition in conversation;True
HINT: Helping Ineffective Rollouts Navigate Towards Effectiveness;False
Mitigating Semantic and Distributional Discrepancies in Natural Language Processing;False
Understanding The Effects of Incorporating Scientific Knowledge on Neural Network Outputs and Loss Landscapes;False
On Adversarial Robustness of Deep Learning-based Medical Imaging Models;True
Domain adaptation for power-line semantic segmentation in aerial images;False
Adversarial-robust vector quantized variational autoencoder with secure latent space for time-series data;False
Structured-Initialization Learning;False
Beyond Tokens: Introducing Large Semiosis Models (LSMs) forGrounded Meaning in Artificial Intelligence;False
Knowledge distillation meets open-set semi-supervised learning;True
Procedural Strategies;False
Reinforcement Learning for Autonomous Mobility on Demand Systems: Scalability Via Multi-Agent Learning and Robustness Via Risk-Sensitivity;False
Platform for orchestrating a scalable, privacy-enabled network of collaborative and negotiating agents;False
