"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID","Chosen"
"Guo, Y.; Ai, X.; Guo, M.; Cheng, S.","Guo, Yanjun (57330698300); Ai, Xinbo (55813316100); Guo, Mingxiu (60124349500); Cheng, Shaoyang (60077022900)","57330698300; 55813316100; 60124349500; 60077022900","Automatic perception of potential safety hazards: A cross-modal multi-task framework for feature alignment, image classification and captioning","2026","Advanced Engineering Informatics","69","","103919","","","0","10.1016/j.aei.2025.103919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017736653&doi=10.1016%2Fj.aei.2025.103919&partnerID=40&md5=777ee0e431c47a08eed37597aa27caf1","Article","Final","","Scopus","2-s2.0-105017736653",False
"Atamni, N.; Madi, B.; Bordman, S.; Vasyutinsky-Shapira, D.V.; Rabaev, I.; El-Sana, J.","Atamni, Nour (58558005100); Madi, Boraq (57219761909); Bordman, Shoshana (60112510200); Vasyutinsky-Shapira, Daria (57219900021); Rabaev, Irina (53865434500); El-Sana, Jihad A. (6603056280)","58558005100; 57219761909; 60112510200; 57219900021; 53865434500; 6603056280","Multi-task Learning for Hebrew Paleography: Script Classification and Date Estimation","2026","Lecture Notes in Computer Science","16027 LNCS","","","79","97","0","10.1007/978-3-032-04630-7_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016904249&doi=10.1007%2F978-3-032-04630-7_5&partnerID=40&md5=071455e7cf042bc05896a754ef96db15","Conference paper","Final","","Scopus","2-s2.0-105016904249",False
"Dagnaw, G.H.; Zhu, Y.; Maqsood, M.H.; Yin, X.; Liew, A.W.-C.","Dagnaw, Getamesay Haile (58754640600); Zhu, Yanming (57192103810); Maqsood, Muhammad Hassan (57351290400); Yin, Xuefei (57192101850); Liew, Alan Wee Chung (7005648281)","58754640600; 57192103810; 57351290400; 57192101850; 7005648281","Explainable multimodal hematology analysis for white blood cell classification and attribute prediction","2025","Computers in Biology and Medicine","196","","110734","","","0","10.1016/j.compbiomed.2025.110734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012229178&doi=10.1016%2Fj.compbiomed.2025.110734&partnerID=40&md5=fd3ded8c5f5ab31d3f8b50816ebc9196","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012229178",False
"Yuan, L.; Zhou, H.-B.; Li, J.-Y.; Liu, L.; Gu, X.-C.; Zhao, Y.-N.","Yuan, Li (8452570000); Zhou, Hebin (59918807700); Li, Jiangyun (27170441000); Liu, Li (57930576300); Gu, Xiao Chai (59918337700); Zhao, Yanan (57213968756)","8452570000; 59918807700; 27170441000; 57930576300; 59918337700; 57213968756","Symmetry Alignment–Feature Interaction Network for Human Ear Similarity Detection and Authentication †","2025","Symmetry","17","5","654","","","1","10.3390/sym17050654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006819963&doi=10.3390%2Fsym17050654&partnerID=40&md5=40dacb2e4a303a3836a78591c1bf8e20","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105006819963",False
"Kadlec, P.; Čapek, M.","Kadlec, Petr (55628590839); Čapek, Miloslav (24824101600)","55628590839; 24824101600","Multi-objective Memetic Algorithm with Adaptive Weights for Inverse Antenna Design","2025","IEEE Transactions on Antennas and Propagation","","","","","","1","10.1109/TAP.2025.3584518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010344820&doi=10.1109%2FTAP.2025.3584518&partnerID=40&md5=82503f342fa837606409bdda5f275c24","Article","aip","","Scopus","2-s2.0-105010344820",False
"Zou, M.; Yu, B.; Zhan, Y.; Lyu, S.; Ma, K.","Zou, Mian (57221976157); Yu, Baosheng (57192112952); Zhan, Yibing (56100491900); Lyu, Siwei (8727557200); Ma, Kede (55624220200)","57221976157; 57192112952; 56100491900; 8727557200; 55624220200","Semantics-Oriented Multitask Learning for DeepFake Detection: A Joint Embedding Approach","2025","IEEE Transactions on Circuits and Systems for Video Technology","35","10","","9950","9963","1","10.1109/TCSVT.2025.3572508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006001564&doi=10.1109%2FTCSVT.2025.3572508&partnerID=40&md5=32892fa9b36f5d3ae5bf9c19a0eb410a","Article","Final","","Scopus","2-s2.0-105006001564",False
"Setiyadi, Y.; Santoso, J.; Surendro, K.","Setiyadi, Yaya (56532509700); Santoso, Judhi (53264786200); Surendro, Kridanto (6507613469)","56532509700; 53264786200; 6507613469","Comparison of Loss Function Weighting Methods for Multi-Loss Function GAN","2024","","","","","","","0","10.1109/ICIC64337.2024.10957579","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004579467&doi=10.1109%2FICIC64337.2024.10957579&partnerID=40&md5=f4e57bd9bf311f9462aa7cd41bb0549b","Conference paper","Final","","Scopus","2-s2.0-105004579467",False
"Wang, D.; Zhang, T.; Yuan, C.; Wang, X.","Wang, Deyuan (58706241200); Zhang, Tiantian (58738159200); Yuan, Caixia (37056632700); Wang, Xiaojie (35235644100)","58706241200; 58738159200; 37056632700; 35235644100","Joint Modeling for ASR Correction and Dialog State Tracking","2023","Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing","2023-June","","","","","2","10.1109/ICASSP49357.2023.10095945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177604860&doi=10.1109%2FICASSP49357.2023.10095945&partnerID=40&md5=2da6a04d5b0a768465f9b9cadc0137ec","Conference paper","Final","","Scopus","2-s2.0-85177604860",True
"Rohrhofer, F.M.; Posch, S.; Gobnitzer, C.; Geiger, B.C.","Rohrhofer, Franz M. (57222238812); Posch, Stefan (6602338394); Gobnitzer, Clemens (58558802300); Geiger, Bernhard C. (57195470728)","57222238812; 6602338394; 58558802300; 57195470728","Data vs. Physics: The Apparent Pareto Front of Physics-Informed Neural Networks","2023","IEEE Access","11","","","86252","86261","17","10.1109/ACCESS.2023.3302892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167812124&doi=10.1109%2FACCESS.2023.3302892&partnerID=40&md5=829fba5adc017672c7ae7fecd09882c5","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167812124",False
"Mozaffari, S.; Arnold, E.; Dianati, M.; Fallah, S.","Mozaffari, Sajjad (57219585131); Arnold, Eduardo H. (57211023741); Dianati, Mehrdad (8930535800); Fallah, Saber (57212012224)","57219585131; 57211023741; 8930535800; 57212012224","Early Lane Change Prediction for Automated Driving Systems Using Multi-Task Attention-Based Convolutional Neural Networks","2022","IEEE Transactions on Intelligent Vehicles","7","3","","758","770","63","10.1109/TIV.2022.3161785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127044415&doi=10.1109%2FTIV.2022.3161785&partnerID=40&md5=7e2f0f85d46541d0f08aa03ead2e855e","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85127044415",True
